npu,occur_year,occur_count
A,2009,282
A,2010,266
A,2011,241
A,2012,275
A,2013,335
A,2014,248
A,2015,237
A,2016,264
A,2017,186
A,2018,202
A,2019,178
A,2020,235
A,2021,136
A,2022,30
B,2009,2904
B,2010,2935
B,2011,2330
B,2012,2537
B,2013,2496
B,2014,2364
B,2015,2466
B,2016,2611
B,2017,2702
B,2018,2805
B,2019,2670
B,2020,2502
B,2021,2151
B,2022,446
C,2009,386
C,2010,326
C,2011,361
C,2012,389
C,2013,342
C,2014,310
C,2015,302
C,2016,349
C,2017,274
C,2018,322
C,2019,327
C,2020,273
C,2021,273
C,2022,56
D,2009,1127
D,2010,959
D,2011,963
D,2012,1025
D,2013,900
D,2014,996
D,2015,1145
D,2016,1265
D,2017,1278
D,2018,1338
D,2019,1044
D,2020,900
D,2021,882
D,2022,197
E,2009,3568
E,2010,3001
E,2011,2810
E,2012,2733
E,2013,2911
E,2014,2943
E,2015,2726
E,2016,2640
E,2017,2538
E,2018,2858
E,2019,2759
E,2020,2711
E,2021,2539
E,2022,599
F,2009,1505
F,2010,1137
F,2011,968
F,2012,1068
F,2013,1091
F,2014,990
F,2015,933
F,2016,1018
F,2017,1024
F,2018,1085
F,2019,1052
F,2020,847
F,2021,947
F,2022,249
G,2009,841
G,2010,810
G,2011,640
G,2012,754
G,2013,592
G,2014,574
G,2015,575
G,2016,546
G,2017,553
G,2018,367
G,2019,408
G,2020,322
G,2021,360
G,2022,98
H,2009,1071
H,2010,988
H,2011,1038
H,2012,960
H,2013,816
H,2014,789
H,2015,805
H,2016,846
H,2017,667
H,2018,575
H,2019,594
H,2020,511
H,2021,456
H,2022,92
I,2009,1302
I,2010,1153
I,2011,1162
I,2012,1057
I,2013,982
I,2014,1073
I,2015,988
I,2016,963
I,2017,826
I,2018,653
I,2019,613
I,2020,502
I,2021,529
I,2022,131
J,2009,1357
J,2010,1342
J,2011,1392
J,2012,1212
J,2013,1017
J,2014,911
J,2015,938
J,2016,898
J,2017,742
J,2018,708
J,2019,588
J,2020,450
J,2021,419
J,2022,88
K,2009,924
K,2010,839
K,2011,833
K,2012,870
K,2013,616
K,2014,564
K,2015,578
K,2016,647
K,2017,521
K,2018,469
K,2019,402
K,2020,391
K,2021,319
K,2022,72
L,2009,1146
L,2010,850
L,2011,846
L,2012,910
L,2013,999
L,2014,946
L,2015,952
L,2016,860
L,2017,645
L,2018,752
L,2019,670
L,2020,617
L,2021,645
L,2022,143
M,2009,4903
M,2010,4208
M,2011,4525
M,2012,3924
M,2013,3897
M,2014,3962
M,2015,3759
M,2016,3202
M,2017,3057
M,2018,3298
M,2019,3360
M,2020,3265
M,2021,2911
M,2022,643
N,2009,1387
N,2010,1020
N,2011,994
N,2012,1158
N,2013,1214
N,2014,1087
N,2015,1081
N,2016,1024
N,2017,942
N,2018,897
N,2019,1141
N,2020,899
N,2021,943
N,2022,214
O,2009,1529
O,2010,1049
O,2011,1102
O,2012,1227
O,2013,1247
O,2014,976
O,2015,886
O,2016,809
O,2017,821
O,2018,642
O,2019,701
O,2020,557
O,2021,510
O,2022,84
P,2009,971
P,2010,913
P,2011,888
P,2012,836
P,2013,911
P,2014,759
P,2015,880
P,2016,871
P,2017,797
P,2018,638
P,2019,510
P,2020,378
P,2021,355
P,2022,91
Q,2009,43
Q,2010,54
Q,2011,35
Q,2012,29
Q,2013,35
Q,2014,21
Q,2015,21
Q,2016,34
Q,2017,35
Q,2018,12
Q,2019,11
Q,2020,11
Q,2021,14
Q,2022,1
R,2009,1790
R,2010,1649
R,2011,1592
R,2012,1457
R,2013,1453
R,2014,1428
R,2015,1212
R,2016,1323
R,2017,988
R,2018,920
R,2019,882
R,2020,730
R,2021,609
R,2022,167
S,2009,954
S,2010,931
S,2011,921
S,2012,854
S,2013,847
S,2014,787
S,2015,754
S,2016,668
S,2017,623
S,2018,583
S,2019,663
S,2020,477
S,2021,439
S,2022,96
T,2009,1864
T,2010,1968
T,2011,1922
T,2012,1733
T,2013,1694
T,2014,1634
T,2015,1611
T,2016,1415
T,2017,1120
T,2018,995
T,2019,1028
T,2020,725
T,2021,864
T,2022,180
V,2009,1922
V,2010,1967
V,2011,2097
V,2012,1776
V,2013,1758
V,2014,1695
V,2015,1514
V,2016,1426
V,2017,1263
V,2018,1190
V,2019,1099
V,2020,897
V,2021,1014
V,2022,231
W,2009,1787
W,2010,1673
W,2011,1458
W,2012,1355
W,2013,1478
W,2014,1291
W,2015,1161
W,2016,1093
W,2017,1060
W,2018,910
W,2019,941
W,2020,775
W,2021,785
W,2022,224
X,2009,1414
X,2010,1417
X,2011,1545
X,2012,1407
X,2013,1284
X,2014,1296
X,2015,1244
X,2016,1098
X,2017,971
X,2018,951
X,2019,912
X,2020,680
X,2021,573
X,2022,147
Y,2009,1188
Y,2010,1168
Y,2011,1036
Y,2012,837
Y,2013,954
Y,2014,953
Y,2015,791
Y,2016,751
Y,2017,767
Y,2018,618
Y,2019,596
Y,2020,526
Y,2021,459
Y,2022,125
Z,2009,1810
Z,2010,1596
Z,2011,1825
Z,2012,1709
Z,2013,1425
Z,2014,1424
Z,2015,1353
Z,2016,1193
Z,2017,1023
Z,2018,891
Z,2019,847
Z,2020,794
Z,2021,652
Z,2022,150
